"fighter1_odds","fighter2_odds"
"1.91","2.05"
"1.38","3.45"
"1.44","3.15"
"1.61","2.55"
"2.10","1.89"
"2.20","1.85"
"1.40","3.36"
"1.52","2.90"
"1.74","2.25"
"1.69","2.45"
"1.46","3.00"
"1.33","3.70"
"1.83","2.20"
"1.83","2.10"
"1.58","2.90"
"1.87","2.20"
"3.30","1.42"
"1.26","4.40"
"1.24","5.20"
"1.40","3.30"
"1.87","2.07"
"1.77","2.30"
"1.91","2.20"
"1.33","3.95"
"2.50","1.63"
"1.89","2.10"
"1.53","2.85"
"1.49","2.90"
"1.74","2.25"
"1.45","3.25"
"2.50","1.66"
"3.60","1.37"
"1.73","2.45"
"1.36","3.90"
"2.35","1.71"
"2.40","1.67"
"1.17","6.35"
"1.50","2.86"
"1.36","3.75"
"2.25","1.74"
"1.62","2.68"
"3.35","1.40"
"2.40","1.67"
"1.83","2.15"
"1.99","2.00"
"1.25","4.75"
"1.90","2.05"
"1.50","2.88"
"1.25","4.89"
"2.50","1.63"
"2.25","1.76"
"1.71","2.30"
"1.55","2.70"
"4.85","1.24"
"2.50","1.65"
"1.82","2.20"
"1.63","2.50"
"2.85","1.53"
"1.32","4.00"
"2.10","1.95"
"2.15","1.85"
"1.59","2.75"
"1.81","2.25"
"4.90","1.25"
"1.44","3.35"
"1.75","2.38"
"4.80","1.25"
"2.05","1.87"
"1.10","9.50"
"1.24","5.10"
"4.90","1.24"
"1.89","2.10"
"1.17","6.05"
"1.93","2.25"
"1.48","3.15"
"2.15","1.93"
"1.56","2.68"
"2.40","1.93"
"2.50","1.65"
"1.22","5.35"
"1.81","2.20"
"2.10","1.85"
"1.36","3.65"
"1.43","3.15"
"4.90","1.23"
"1.85","2.20"
"2.60","1.61"
"2.90","1.44"
"2.13","1.81"
"3.05","1.45"
"1.88","2.05"
"2.65","1.62"
"1.91","2.05"
"1.43","3.20"
"1.32","3.95"
"1.67","2.45"
"1.59","2.60"
"6.05","1.18"
"2.38","1.74"
"1.57","2.70"
"1.46","3.05"
"1.40","3.55"
"1.94","2.00"
"2.85","1.53"
"1.80","2.28"
"2.86","1.53"
"2.01","1.89"
"2.03","1.94"
"2.60","1.62"
"1.24","4.89"
"1.50","2.86"
"1.87","2.06"
"2.36","1.61"
"2.46","1.57"
"1.40","2.92"
"1.54","2.56"
"1.20","4.77"
"2.30","1.80"
"2.75","1.53"
"1.29","4.95"
"1.62","2.58"
"1.62","2.62"
"1.33","3.80"
"3.68","1.36"
"1.65","2.38"
"2.00","1.91"
"1.67","2.40"
"2.50","1.62"
"1.20","5.50"
"1.96","1.95"
"1.74","2.35"
"3.20","1.44"
"1.43","3.20"
"1.53","2.85"
"1.87","2.10"
"2.12","1.95"
"1.74","2.32"
"1.63","2.50"
"1.50","2.95"
"1.48","2.90"
"1.34","3.80"
"1.30","3.65"
"1.35","3.69"
"1.28","3.98"
"1.65","2.26"
"2.85","1.50"
"1.43","2.85"
"1.95","1.80"
"1.56","2.47"
"1.41","2.97"
"1.35","3.20"
"2.60","1.62"
"1.69","2.15"
"2.25","1.75"
"1.22","5.00"
"1.72","2.35"
"2.65","1.57"
"1.89","2.15"
"1.89","2.15"
"3.00","1.48"
"2.20","1.81"
"1.91","2.05"
"2.10","1.91"
"1.65","2.45"
"2.05","2.15"
"1.87","2.17"
"1.08","9.00"
"1.55","2.74"
"1.49","2.80"
"1.49","2.90"
"1.55","2.67"
"1.87","2.05"
"1.88","2.10"
"1.44","3.10"
"2.02","1.87"
"1.68","2.36"
"2.01","1.89"
"1.87","2.02"
"1.47","3.10"
"1.22","5.00"
"1.26","4.48"
"2.60","1.60"
"1.48","2.96"
"1.67","2.40"
"1.52","2.90"
"1.53","2.80"
"2.50","1.64"
"3.41","1.37"
"3.12","1.43"
"3.20","1.44"
"2.50","1.63"
"1.40","3.26"
"1.44","3.05"
"1.67","2.43"
"1.91","1.86"
"1.88","1.88"
"1.62","2.55"
"1.57","2.46"
"1.75","2.06"
"1.61","2.36"
"1.45","2.79"
"2.50","1.64"
"2.00","1.94"
"2.35","1.69"
"1.32","4.35"
"2.17","1.80"
"1.48","2.95"
"2.00","1.94"
"4.00","1.30"
"2.00","1.96"
"1.61","2.55"
"1.34","3.65"
"1.58","2.95"
"2.15","1.88"
"2.45","1.67"
"2.50","1.67"
"1.47","2.95"
"1.54","2.85"
